# Mass	Unpol_0	Unpol_1	Opt_0	Opt_1	H20_0	H20_1
1	nan	nan	0.0313034	0.094984	0.13891	0.28301
10	nan	nan	0.0370768	0.103214	0.14981	0.29901
100	nan	nan	0.0408252	0.106605	0.15781	0.30811
500	nan	nan	0.0301347	0.081041	0.13911	0.27001
1000	nan	nan	0.0270282	0.0742121	0.15561	0.26991
2000	nan	nan	0.0299023	0.0759408	0.16021	0.27271
2500	nan	nan	0.0221564	0.0608423	0.14781	0.24631
2750	nan	nan	0.0206845	0.0550195	0.14771	0.23351
2950	nan	nan	0.0162251	0.0511935	0.11591	0.20931
3000	nan	nan	0.0185682	0.0571838	0.11101	0.20901
3050	nan	nan	0.0193561	0.063413	0.10321	0.20491
3200	nan	nan	0.0292975	0.0990146	0.12071	0.24461
3500	nan	nan	0.0387676	0.161451	0.13571	0.28571
5000	nan	nan	0.0595755	0.367787	0.19221	0.42381
7000	nan	nan	0.203795	1.10558	0.43691	0.95611
10000	nan	nan	0.17236	1.1945	0.37911	0.87541
