# Mass	Unpol_0	Unpol_1	Opt_0	Opt_1	H20_0	H20_1
1	0.0635211	0.184144	0.045992	0.125352	0.0481523	0.122957
10	0.0674286	0.195472	0.0490406	0.133661	0.0513215	0.130991
100	0.0706269	0.204743	0.0504124	0.1374	0.0528071	0.134913
500	0.0627353	0.181866	0.0454542	0.123886	0.0475763	0.121453
1000	0.0618625	0.179336	0.0447068	0.121849	0.0468103	0.119539
2000	0.0623275	0.180684	0.0452779	0.123406	0.047401	0.121029
2500	0.0583689	0.169208	0.0422488	0.11515	0.0442211	0.112887
2750	0.0612357	0.177519	0.0440149	0.119963	0.0460744	0.117631
2950	0.0702888	0.203763	0.05072	0.138238	0.053106	0.135616
3000	0.0743052	0.215406	0.0535286	0.145893	0.0560423	0.143103
3050	0.0791593	0.229478	0.0566514	0.154404	0.059327	0.15153
3200	0.0954719	0.276767	0.0685823	0.186922	0.0717839	0.183249
3500	0.139579	0.404631	0.100036	0.272649	0.104732	0.267427
4200	0.266584	0.77281	0.192779	0.525422	0.201847	0.515451
5000	0.448887	1.3013	0.321591	0.876499	0.336698	0.859771
7000	1.02755	2.9788	0.743004	2.02507	0.777856	1.98618
10000	2.27421	6.59279	1.6477	4.49084	1.72421	4.40124
