#         x                   y                  yerr                xerr
   1.000000000000e+00  1.237049109756e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+01  1.196028679454e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+02  1.143764308646e+04  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+02  1.181533686705e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+03  1.198690776359e+04  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+03  1.214746065423e+04  0.000000000000e+00  0.000000000000e+00
   2.500000000000e+03  1.248306669952e+04  0.000000000000e+00  0.000000000000e+00
   2.750000000000e+03  1.259308232696e+04  0.000000000000e+00  0.000000000000e+00
   2.950000000000e+03  1.243339495839e+04  0.000000000000e+00  0.000000000000e+00
   3.000000000000e+03  1.233078868178e+04  0.000000000000e+00  0.000000000000e+00
   3.050000000000e+03  1.225485521212e+04  0.000000000000e+00  0.000000000000e+00
   3.200000000000e+03  1.199632792807e+04  0.000000000000e+00  0.000000000000e+00
   3.500000000000e+03  1.153933866367e+04  0.000000000000e+00  0.000000000000e+00
   4.200000000000e+03  1.111603947966e+04  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+03  1.094377948288e+04  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+03  1.085132930385e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+04  1.079511010944e+04  0.000000000000e+00  0.000000000000e+00
