       x                   y                  yerr                xerr
   1.000000000000E+00  4.830978697727E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  4.435696998579E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  4.246117411074E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  5.509183846513E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  5.877962237084E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  5.806349862987E+03  0.000000000000E+00  0.000000000000E+00
   2.500000000000E+03  6.906391081949E+03  0.000000000000E+00  0.000000000000E+00
   2.750000000000E+03  7.898741013990E+03  0.000000000000E+00  0.000000000000E+00
   2.950000000000E+03  6.962566842064E+03  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  5.664500369461E+03  0.000000000000E+00  0.000000000000E+00
   3.050000000000E+03  4.271612016503E+03  0.000000000000E+00  0.000000000000E+00
   3.200000000000E+03  1.723980635668E+03  0.000000000000E+00  0.000000000000E+00
   3.500000000000E+03  5.005061502055E+02  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  3.591419155282E+01  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  6.549785291506E+00  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.337790807801E+00  0.000000000000E+00  0.000000000000E+00
