#         x                   y                  yerr                xerr
   1.000000000000E+00  2.863924527068E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  2.417478211666E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  2.125673290637E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  2.222665154007E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  2.124383801414E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.914438619208E+03  0.000000000000E+00  0.000000000000E+00
   2.500000000000E+03  1.885807419342E+03  0.000000000000E+00  0.000000000000E+00
   2.750000000000E+03  1.640464176367E+03  0.000000000000E+00  0.000000000000E+00
   2.950000000000E+03  1.199233939098E+03  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.074663804541E+03  0.000000000000E+00  0.000000000000E+00
   3.050000000000E+03  9.553177087813E+02  0.000000000000E+00  0.000000000000E+00
   3.200000000000E+03  6.506580764592E+02  0.000000000000E+00  0.000000000000E+00
   3.500000000000E+03  3.093247348971E+02  0.000000000000E+00  0.000000000000E+00
   4.200000000000E+03  8.533681900333E+01  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  3.097799772084E+01  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  5.909023975863E+00  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.227624363919E+00  0.000000000000E+00  0.000000000000E+00
