#         x                   y                  yerr                xerr
   1.000000000000e+00  6.116293545872e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+01  5.144546945524e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+02  4.704491695980e+04  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+02  6.364101766585e+04  0.000000000000e+00  0.000000000000e+00
   2.500000000000e+02  8.403888590870e+04  0.000000000000e+00  0.000000000000e+00
   3.000000000000e+02  1.147155052625e+05  0.000000000000e+00  0.000000000000e+00
   3.200000000000e+02  1.233402632556e+05  0.000000000000e+00  0.000000000000e+00
   3.600000000000e+02  9.716934450463e+04  0.000000000000e+00  0.000000000000e+00
   3.650000000000e+02  9.024247252894e+04  0.000000000000e+00  0.000000000000e+00
   3.700000000000e+02  8.330318975333e+04  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+02  4.952709607302e+04  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+02  1.574684201264e+04  0.000000000000e+00  0.000000000000e+00
   6.000000000000e+02  9.970688306861e+03  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+02  8.108195981195e+03  0.000000000000e+00  0.000000000000e+00
   8.000000000000e+02  7.297231479667e+03  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+03  6.592471821107e+03  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+03  5.999649496800e+03  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+03  5.877841998043e+03  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+04  5.862989621201e+03  0.000000000000e+00  0.000000000000e+00
