#       x                   y                  yerr                xerr
   1.000000000000e+00  1.070623959084e+05  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+01  9.822328585404e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+02  1.034954465457e+05  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+02  1.510271897676e+05  0.000000000000e+00  0.000000000000e+00
   2.500000000000e+02  2.145126278265e+05  0.000000000000e+00  0.000000000000e+00
   3.000000000000e+02  3.624808934037e+05  0.000000000000e+00  0.000000000000e+00
   3.200000000000e+02  4.775369258420e+05  0.000000000000e+00  0.000000000000e+00
   3.600000000000e+02  5.666053027103e+05  0.000000000000e+00  0.000000000000e+00
   3.650000000000e+02  4.680732935793e+05  0.000000000000e+00  0.000000000000e+00
   3.700000000000e+02  3.666694220099e+05  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+02  8.662551188485e+04  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+02  8.769681055903e+03  0.000000000000e+00  0.000000000000e+00
   6.000000000000e+02  2.656145834272e+03  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+02  1.136186678995e+03  0.000000000000e+00  0.000000000000e+00
   8.000000000000e+02  5.806096613623e+02  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+03  2.053210179398e+02  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+03  1.071651711384e+01  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+03  2.615328533656e-01  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+04  1.625849927074e-02  0.000000000000e+00  0.000000000000e+00
