#         x                   y                  yerr                xerr
   1.000000000000e+00  6.105065798760e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+01  5.126235786949e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+02  4.778045413532e+04  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+02  6.527479065511e+04  0.000000000000e+00  0.000000000000e+00
   2.500000000000e+02  8.578036520767e+04  0.000000000000e+00  0.000000000000e+00
   3.000000000000e+02  1.146744464811e+05  0.000000000000e+00  0.000000000000e+00
   3.200000000000e+02  1.208107865521e+05  0.000000000000e+00  0.000000000000e+00
   3.600000000000e+02  8.759818469568e+04  0.000000000000e+00  0.000000000000e+00
   3.650000000000e+02  8.038566317096e+04  0.000000000000e+00  0.000000000000e+00
   3.700000000000e+02  7.293542645869e+04  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+02  3.840084425543e+04  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+02  6.859111671899e+03  0.000000000000e+00  0.000000000000e+00
   6.000000000000e+02  2.265090843447e+03  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+02  9.995179600631e+02  0.000000000000e+00  0.000000000000e+00
   8.000000000000e+02  5.212782254352e+02  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+03  1.866389358157e+02  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+03  9.902397115905e+00  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+03  2.422266267241e-01  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+04  1.505866157201e-02  0.000000000000e+00  0.000000000000e+00
