#mass	Opt_0	Opt_1	H20_0	H20_1
1	0.00799502	0.0353896	0.04621	0.11971
10	0.00765751	0.0356179	0.04661	0.11981
100	0.00433475	0.0261533	0.04461	0.11361
200	0.00734896	0.0339407	0.04591	0.11821
400	0.00512845	0.0262293	0.04221	0.10761
500	0.00939096	0.0325692	0.04061	0.10571
700	0.0091656	0.0279229	0.03891	0.10181
800	0.0195219	0.0347113	0.04291	0.11581
900	0.0119006	0.0283274	0.11251	0.15941
950	0.0242283	0.0396566	0.07041	0.15921
1000	0.0236168	0.0425732	0.05401	0.13031
1050	0.023579	0.0475923	0.04721	0.11781
1150	0.0281352	0.0645708	0.05161	0.12761
1250	0.0415434	0.0917394	0.05771	0.14371
1350	0.0704814	0.133138	0.06241	0.15641
1500	0.0823141	0.172752	0.07041	0.17711
1650	0.105542	0.225822	0.08181	0.20601
1750	0.149174	0.284455	0.08451	0.21561
2000	0.151620	0.353764	0.10261	0.26161
3000	0.104775	0.530755	0.14871	0.37331
4000	0.218672	1.040880	0.23361	0.53251
5000	1.506850	2.951390	0.29831	0.58501
7000	0.112126	0.842134	0.25121	0.58821
10000	0.103601	0.795257	0.34441	0.67181
