# Mass	Unpol_0	Unpol_1	Opt_0	Opt_1	H20_0	H20_1
1	nan	nan	0.00973856	0.0385145	0.04681	0.12011
10	nan	nan	0.00784264	0.0360194	0.04711	0.12121
100	nan	nan	0.00381436	0.0239903	0.04421	0.11151
200	nan	nan	0.00653577	0.0320675	0.04501	0.11551
400	nan	nan	0.00551196	0.0272196	0.04271	0.10911
500	nan	nan	0.00774219	0.0301984	0.04181	0.10611
700	nan	nan	0.00875099	0.027456	0.03901	0.10061
800	nan	nan	0.0195257	0.0347143	0.04421	0.11861
900	nan	nan	0.0100132	0.026601	0.10451	0.15471
950	nan	nan	0.0163074	0.0333924	0.06921	0.14991
1000	nan	nan	0.0177525	0.0378717	0.05151	0.12391
1050	nan	nan	0.0110025	0.0358949	0.04951	0.12031
1150	nan	nan	0.0356291	0.0707669	0.05121	0.12841
1250	nan	nan	0.039457	0.0899713	0.05691	0.14261
1350	nan	nan	0.0684354	0.131512	0.06171	0.15741
1500	nan	nan	0.0921043	0.18068	0.07241	0.17961
1650	nan	nan	0.106758	0.226826	0.08041	0.19971
1750	nan	nan	0.159566	0.292686	0.08931	0.22341
2000	nan	nan	0.158324	0.35953	0.10481	0.26281
3000	nan	nan	0.148387	0.625544	0.16161	0.40881
4000	nan	nan	0.212525	1.02651	0.17891	0.47881
5000	nan	nan	0.167473	1.07303	0.19741	0.48271
7000	nan	nan	0.201929	1.43672	0.33801	0.63221
10000	nan	nan	0.0970431	0.745437	0.35431	0.65541
