# Mass	Unpol_0	Unpol_1	Opt_0	Opt_1	H20_0	H20_1
1	0.0233906	0.0711159	0.0143232	0.0397978	0.0172556	0.0362324
10	nan	nan	0.014784	0.0410782	0.0178283	0.0374433
50	0.0242531	0.0737383	nan	nan	nan	nan
100	0.0237192	0.0721149	0.0146171	0.0406145	0.0176126	0.036864
150	0.0228149	0.0693655	nan	nan	nan	nan
200	0.0210097	0.0638771	0.0129664	0.0360281	0.0156216	0.0326779
250	0.0187304	0.0569474	nan	nan	nan	nan
300	0.0175515	0.0533629	0.0108067	0.0300272	0.0130283	0.0273063
350	0.0170656	0.0518856	nan	nan	nan	nan
400	0.0163032	0.0495675	0.0100691	0.0279776	0.0121246	0.0254437
450	0.0156813	0.0476767	nan	nan	nan	nan
500	0.014823	0.0450673	0.00906622	0.0251911	0.0109296	0.0228993
600	0.0128879	0.039184	nan	nan	nan	nan
700	nan	nan	0.00661561	0.0183819	0.00797421	0.016711
750	0.00974472	0.0296275	nan	nan	nan	nan
800	nan	nan	0.00537407	0.0149322	0.00647339	0.0135658
850	0.00780574	0.0237323	nan	nan	nan	nan
950	0.00660034	0.0200674	0.00406297	0.0112892	0.0048938	0.0102568
1000	0.00811876	0.024684	0.00497171	0.0138142	0.00599902	0.0125794
1050	0.0131144	0.0398726	0.00798169	0.0221776	0.00962823	0.020209
1150	0.0258468	0.0785836	0.0158549	0.0440538	0.0190944	0.0399873
1250	0.0395768	0.120328	0.0242525	0.0673872	0.0292328	0.0612959
1350	0.0543853	0.165351	0.0334277	0.092881	0.0402784	0.0844706
1500	0.0788338	0.239683	0.0482779	0.134143	0.0581312	0.121772
1650	0.10511	0.319573	nan	nan	nan	nan
1750	0.12362	0.375849	0.0759533	0.211041	0.0915145	0.191806
2000	0.17626	0.535894	0.108838	0.302413	0.131016	0.274519
2500	0.302008	0.918215	0.184436	0.512466	0.222272	0.465931
3000	0.453146	1.37773	0.279781	0.777389	0.336875	0.705242
3500	0.633359	1.92564	nan	nan	nan	nan
4000	0.845592	2.57091	0.517139	1.4369	0.623218	1.30537
5000	1.3413	4.07805	0.823743	2.28882	0.993238	2.0824
6000	1.94957	5.92741	nan	nan	nan	nan
7000	nan	nan	1.64249	4.56376	1.97907	4.14817
10000	5.52639	16.8022	3.38167	9.39619	4.07829	8.56641
