#         x                   y                  yerr                xerr # removed mass 900 GeV and 1650 GeV to match with w/o intf case. 
   1.000000000000E+00  1.486035380090E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  1.367002237673E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  1.341029004432E+04  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  1.337654096562E+04  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  1.580983176149E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  1.852756057400E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  3.123520913844E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  4.484059532357E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  6.846540729429E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  4.441436240386E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  1.881358203421E+04  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  6.266397743195E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  3.652067262266E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  2.719201296750E+03  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  2.150260351230E+03  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  1.810989468529E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.691037630004E+03  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.570508809103E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  1.550906769895E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  1.541979909683E+03  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  1.533004646453E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.531172396845E+03  0.000000000000E+00  0.000000000000E+00
