#         x                   y                  yerr                xerr
   1.000000000000E+00  2.997653775609E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  2.797999762135E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  2.605612933255E+04  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  2.737436976569E+04  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  3.102782043188E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  3.496947828423E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  5.484341502760E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  7.721569064451E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.246766293506E+05  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  9.197244226374E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  4.923523877357E+04  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  2.549256976208E+04  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  1.966350341234E+04  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  1.722498420401E+04  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  1.551578190291E+04  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  1.435425773538E+04  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.378964575282E+04  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.310830318558E+04  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  1.287076930548E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  1.282471711775E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  1.277080602660E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.276542738584E+04  0.000000000000E+00  0.000000000000E+00
