# Mass                   x                  xerr                   yerr
1.000000000000E+00  1.780978477610E+04  0.000000000000E+00  0.000000000000E+00
5.000000000000E+01  1.555750703981E+04  0.000000000000E+00  0.000000000000E+00
1.000000000000E+02  1.549977839610E+04  0.000000000000E+00  0.000000000000E+00
1.500000000000E+02  1.562463843132E+04  0.000000000000E+00  0.000000000000E+00
2.000000000000E+02  1.593022284909E+04  0.000000000000E+00  0.000000000000E+00
2.500000000000E+02  1.643134849061E+04  0.000000000000E+00  0.000000000000E+00
3.000000000000E+02  1.714264081088E+04  0.000000000000E+00  0.000000000000E+00
3.500000000000E+02  1.802264759039E+04  0.000000000000E+00  0.000000000000E+00
4.000000000000E+02  1.928193715878E+04  0.000000000000E+00  0.000000000000E+00
4.500000000000E+02  2.084781598372E+04  0.000000000000E+00  0.000000000000E+00
5.000000000000E+02  2.281122166543E+04  0.000000000000E+00  0.000000000000E+00
6.000000000000E+02  2.907669272202E+04  0.000000000000E+00  0.000000000000E+00
7.500000000000E+02  4.758261019311E+04  0.000000000000E+00  0.000000000000E+00
8.500000000000E+02  7.003378289240E+04  0.000000000000E+00  0.000000000000E+00
9.500000000000E+02  8.772829989175E+04  0.000000000000E+00  0.000000000000E+00
1.000000000000E+03  5.553935536365E+04  0.000000000000E+00  0.000000000000E+00
1.050000000000e+03  2.190021354160e+04  2.404194261174e+01  0.000000000000e+00
1.150000000000e+03  5.745469510944e+03  5.827523585700e+00  0.000000000000e+00
1.250000000000e+03  2.466829496424e+03  2.381224332716e+00  0.000000000000e+00
1.350000000000e+03  1.319429703993e+03  1.288120262213e+00  0.000000000000e+00
1.500000000000e+03  6.389959088871e+02  6.170814763385e-01  0.000000000000e+00
1.650000000000e+03  3.586706520576e+02  3.365282344302e-01  0.000000000000e+00
1.750000000000e+03  2.582038500647e+02  2.335280237557e-01  0.000000000000e+00
2.000000000000e+03  1.280425127203e+02  1.191677493469e-01  0.000000000000e+00
2.500000000000e+03  4.399441222278e+01  4.048954354703e-02  0.000000000000e+00
3.000000000000e+03  1.941917859704e+01  1.806930470960e-02  0.000000000000e+00
3.500000000000e+03  9.960714889109e+00  9.189096623182e-03  0.000000000000e+00
4.000000000000e+03  5.657895250154e+00  5.359239006135e-03  0.000000000000e+00
5.000000000000e+03  2.225330948186e+00  2.021919375054e-03  0.000000000000e+00
6.000000000000e+03  1.054282786650e+00  9.198770458694e-04  0.000000000000e+00
1.000000000000E+04  1.324811977689E-01  0.000000000000E+00  0.000000000000E+00
