#         x                   y                  yerr                xerr
   1.000000000000E+00  1.043915788130E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  8.865603827614E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  7.519296809335E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  7.447634950269E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  8.600069195758E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  9.945219097846E+03  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  1.473597858409E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  1.752963790640E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  1.720967176043E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.449710620522E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  1.069802514556E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  7.300001656275E+03  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  3.377515996339E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  1.761714783370E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  1.029892519581E+03  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  5.308776161114E+02  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  3.074971246408E+02  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  2.245067109712E+02  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.138572563111E+02  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.768991525412E+01  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  5.190065029691E+00  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  2.053411981741E+00  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  5.191330586884E-01  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.226434130906E-01  0.000000000000E+00  0.000000000000E+00
